City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
26,Victoria,HK,22.2855,114.1577,57.18,79,100,1.01,overcast clouds
27,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,69.46,97,100,4.23,overcast clouds
28,Thohoyandou,ZA,-22.9456,30.485,78.57,55,94,5.7,overcast clouds
29,Deputatskiy,RU,69.3,139.9,-15.88,100,100,0.25,overcast clouds
30,Millau,FR,44.0833,2.9167,43.39,96,100,16.78,overcast clouds
31,Bluff,NZ,-46.6,168.3333,60.8,92,60,2.13,broken clouds
32,Shache,CN,38.4167,77.2406,30.81,38,99,6.67,overcast clouds
33,Ribeira Grande,PT,38.5167,-28.7,63,63,40,20.71,scattered clouds
34,Mount Gambier,AU,-37.8333,140.7667,60.67,94,0,4.85,clear sky
35,Jutai,BR,-5.1833,-68.9,83.21,67,88,3.56,overcast clouds
36,Fare,PF,-16.7,-151.0167,79.43,77,16,11.97,moderate rain
37,Caravelas,BR,-17.7125,-39.2481,89.53,52,73,10.4,broken clouds
38,Goundam,ML,16.4145,-3.6708,90.27,9,8,18.84,clear sky
39,Bitung,ID,1.4451,125.1824,77.85,83,97,8.32,overcast clouds
40,Vestmannaeyjar,IS,63.4427,-20.2734,32.99,100,100,34.52,sleet
41,Shimoda,JP,34.6667,138.95,34.11,64,45,4.52,scattered clouds
42,Shakiso,ET,5.75,38.9167,82.85,13,88,6.24,overcast clouds
43,Fortuna,US,40.5982,-124.1573,46.92,92,100,4,overcast clouds
44,Kaitangata,NZ,-46.2817,169.8464,55.87,97,38,2.06,scattered clouds
45,Farah,AF,32.5,62.5,51.71,38,13,2.82,few clouds
46,Lima,PE,-12.0432,-77.0282,77.9,70,0,4,clear sky
47,East London,ZA,-33.0153,27.9116,79.74,73,0,8.05,clear sky
48,Tariba,VE,7.8188,-72.2243,72.16,58,30,2.35,scattered clouds
49,Huilong,CN,31.8111,121.655,44.04,61,100,6.51,overcast clouds
50,Henties Bay,NA,-22.116,14.2845,74.86,70,71,10.38,broken clouds
51,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,84,75,5.75,broken clouds
52,Mount Isa,AU,-20.7333,139.5,76.77,100,75,4.61,broken clouds
53,Songjianghe,CN,42.1859,127.479,5.97,94,100,1.61,overcast clouds
54,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.79,72,100,5.75,overcast clouds
55,Ardatov,RU,55.2421,43.097,30.87,93,90,10.98,overcast clouds
56,Qaqortoq,GL,60.7167,-46.0333,28.9,73,100,25.32,overcast clouds
57,Cidreira,BR,-30.1811,-50.2056,79.79,60,5,2.68,clear sky
58,Thompson,CA,55.7435,-97.8558,-3.84,84,100,4.61,overcast clouds
59,Ceyhan,TR,37.0247,35.8175,46.24,90,100,8.7,overcast clouds
60,Atuona,PF,-9.8,-139.0333,77.63,78,4,17.72,clear sky
61,Alvorada,BR,-12.48,-49.1247,80.56,77,92,2.39,light rain
62,Ambon,ID,-3.6954,128.1814,84.34,70,40,5.75,scattered clouds
63,Goderich,CA,43.7501,-81.7165,24.91,79,96,6.91,overcast clouds
64,Varhaug,NO,58.6147,5.6457,37.47,98,100,13.13,snow
65,Kangaatsiaq,GL,68.3065,-53.4641,6.44,78,100,3.6,overcast clouds
66,Masallatah,LY,32.6167,14,59.9,33,0,20.2,clear sky
67,Kavaratti,IN,10.5669,72.642,81.41,73,0,10.4,clear sky
68,Barrow,US,71.2906,-156.7887,-7.58,77,0,12.66,clear sky
69,New Norfolk,AU,-42.7826,147.0587,67.75,72,46,2.82,scattered clouds
70,Butaritari,KI,3.0707,172.7902,81.61,78,99,18.07,light rain
71,Longyearbyen,SJ,78.2186,15.6401,10.24,61,75,17.27,broken clouds
72,Lompoc,US,34.6391,-120.4579,55.78,86,40,4.61,scattered clouds
73,Ravar,IR,31.2656,56.8055,51.91,29,29,4,scattered clouds
74,Ekhabi,RU,53.5102,142.9671,4.26,91,100,26.13,overcast clouds
